Timestamp data collected on 2025-06-30 16:27:44
01140115,6F561A01,01140114,6F53AAA2
01150117,6F588CC0,01150115,6F561BAC
01160118,6F5AFDBE,01160116,6F588CA4
01170119,6F5D6EBD,01170117,6F5AFDA0
0118011A,6F5FDFBE,01180118,6F5D6EA0
0119011B,6F6250BF,01190119,6F5FDFA2
011A011C,6F64C1BB,011A011A,6F6250A2
011B011D,6F6732B8,011B011B,6F64C1A0
011C011E,6F69A3B8,011C011C,6F67329E
011D011F,6F6C14BE,011D011D,6F69A39C
011E0120,6F6E85BF,011E011E,6F6C14A2
011F0121,6F70F6B4,011F011F,6F6E85A2
01200122,6F7367BE,01200120,6F70F69A
01210123,6F75D8BE,01210121,6F7367A0
01220124,6F7849B0,01220122,6F75D8A2
01230125,6F7ABAB4,01230123,6F784994
01240126,6F7D2BB6,01240124,6F7ABA96
01250127,6F7F9CB4,01250125,6F7D2B9C
01260128,6F820DAE,01260126,6F7F9C9A
01270129,6F847EAF,01270127,6F820D94
0128012A,6F86EFB6,01280128,6F847E94
0129012B,6F8960B4,01290129,6F86EF9A
012A012C,6F8BD1AF,012A012A,6F89609A
012B012D,6F8E42AB,012B012B,6F8BD194
012C012E,6F90B3AE,012C012C,6F8E4290
012D012F,6F9324AA,012D012D,6F90B393
012E0130,6F9595AA,012E012E,6F932490
012F0131,6F9806AB,012F012F,6F95958E
01300132,6F9A77AC,01300130,6F980690
01310133,6F9CE8A8,01310131,6F9A7791
01320134,6F9F59AA,01320132,6F9CE88D
01330135,6FA1CAA8,01330133,6F9F598E
01340136,6FA43B9E,01340134,6FA1CA8D
01350137,6FA6ACA8,01350135,6FA43B83
01360138,6FA91DAF,01360136,6FA6AC8C
01370139,6FAB8E9E,01370137,6FA91D94
0138013A,6FADFF9A,01380138,6FAB8E83
0139013B,6FB0709C,01390139,6FADFF7E
013A013C,6FB2E1A2,013A013A,6FB07080
013B013D,6FB552A6,013B013B,6FB2E187
013C013E,6FB7C39C,013C013C,6FB5528A
013D013F,6FBA34A2,013D013D,6FB7C380
013E0140,6FBCA5A4,013E013E,6FBA3486
013F0141,6FBF1696,013F013F,6FBCA588
01400142,6FC18798,01400140,6FBF167C
01410143,6FC3F89C,01410141,6FC1877C
01420144,6FC6699E,01420142,6FC3F880
01430145,6FC8DA92,01430143,6FC66985
01440146,6FCB4B98,01440144,6FC8DA7B
01450147,6FCDBC9C,01450145,6FCB4B7C
01460148,6FD02D9A,01460146,6FCDBC82
01470149,6FD29E90,01470147,6FD02D7E
0148014A,6FD50F96,01480148,6FD29E78
0149014B,6FD7808C,01490149,6FD50F7C
014A014C,6FD9F190,014A014A,6FD78072
014B014D,6FDC629B,014B014B,6FD9F178
014C014E,6FDED38E,014C014C,6FDC627F
014D014F,6FE1448E,014D014D,6FDED374
014E0150,6FE3B59C,014E014E,6FE14474
014F0151,6FE6268F,014F014F,6FE3B580
01500152,6FE8978C,01500150,6FE62674
01510153,6FEB0888,01510151,6FE89771
01520154,6FED798C,01520152,6FEB086E
01530155,6FEFEA90,01530153,6FED7972
01540156,6FF25B87,01540154,6FEFEA76
01550157,6FF4CC8A,01550155,6FF25B6C
01560158,6FF73D8C,01560156,6FF4CC6E
01570159,6FF9AE88,01570157,6FF73D71
0158015A,6FFC1F84,01580158,6FF9AE6D
0159015B,6FFE907E,01590159,6FFC1F6A
015A015C,70010188,015A015A,6FFE9067
015B015D,70037282,015B015B,7001016C
015C015E,7005E382,015C015C,7003726A
015D015F,70085486,015D015D,7005E36A
015E0160,700AC588,015E015E,7008546C
015F0161,700D367C,015F015F,700AC56C
01600162,700FA77C,01600160,700D3663
01610163,7012187E,01610161,700FA766
01620164,7014897E,01620162,70121866
01630165,7016FA7C,01630163,70148968
01640166,70196B76,01640164,7016FA65
01650167,701BDC76,01650165,70196B5C
01660168,701E4D8C,01660166,701BDC5E
01670169,7020BE7B,01670167,701E4D70
0168016A,70232F72,01680168,7020BE62
0169016B,7025A076,01690169,70232F5A
016A016C,7028117C,016A016A,7025A05E
016B016D,702A827A,016B016B,70281162
016C016E,702CF36E,016C016C,702A8260
016D016F,702F6470,016D016D,702CF356
016E0170,7031D57C,016E016E,702F6456
016F0171,70344672,016F016F,7031D562
01700172,7036B770,01700170,7034465A
01710173,70392870,01710171,7036B756
01720174,703B9970,01720172,70392856
01730175,703E0A72,01730173,703B9956
01740176,70407B70,01740174,703E0A5A
01750177,7042EC6C,01750175,70407B56
01760178,70455D76,01760176,7042EC54
01770179,7047CE6E,01770177,70455D5D
0178017A,704A3F6E,01780178,7047CE54
0179017B,704CB072,01790179,704A3F54
017A017C,704F2166,017A017A,704CB059
017B017D,7051926C,017B017B,704F214D
017C017E,70540366,017C017C,70519254
017D017F,70567462,017D017D,7054034D
017E0180,7058E56E,017E017E,70567448
017F0181,705B566C,017F017F,7058E554
01800182,705DC768,01800180,705B5654
01810183,7060385E,01810181,705DC750
01820184,7062A95E,01820182,70603846
01830185,70651A5E,01830183,7062A948
01840186,70678B5A,01840184,70651A46
01850187,7069FC5E,01850185,70678B42
01860188,706C6D5C,01860186,7069FC46
01870189,706EDE60,01870187,706C6D42
0188018A,70714F67,01880188,706EDE48
0189018B,7073C060,01890189,70714F4E
018A018C,70763164,018A018A,7073C048
018B018D,7078A259,018B018B,7076314C
018C018E,707B1350,018C018C,7078A240
018D018F,707D8458,018D018D,707B1339
018E0190,707FF55E,018E018E,707D843E
018F0191,7082665C,018F018F,707FF542
01900192,7084D758,01900190,70826644
01910193,7087484E,01910191,7084D740
01920194,7089B956,01920192,70874838
01930195,708C2A4E,01930193,7089B93E
01940196,708E9B53,01940194,708C2A36
01950197,70910C58,01950195,708E9B3C
01960198,70937D4C,01960196,70910C3E
01970199,7095EE56,01970197,70937D35
0198019A,70985F53,01980198,7095EE3C
0199019B,709AD056,01990199,70985F3A
019A019C,709D414B,019A019A,709AD03C
019B019D,709FB24A,019B019B,709D4134
019C019E,70A2234A,019C019C,709FB234
019D019F,70A49449,019D019D,70A22334
019E01A0,70A7054E,019E019E,70A49434
019F01A1,70A97648,019F019F,70A70536
01A001A2,70ABE74C,01A001A0,70A97630
01A101A3,70AE584C,01A101A1,70ABE735
01A201A4,70B0C948,01A201A2,70AE5834
01A301A5,70B33A4A,01A301A3,70B0C932
01A401A6,70B5AB3F,01A401A4,70B33A34
01A501A7,70B81C42,01A501A5,70B5AB28
01A601A8,70BA8D49,01A601A6,70B81C29
01A701A9,70BCFE40,01A701A7,70BA8D32
01A801AA,70BF6F44,01A801A8,70BCFE28
01A901AB,70C1E04A,01A901A9,70BF6F2C
01AA01AC,70C45142,01AA01AA,70C1E032
01AB01AD,70C6C240,01AB01AB,70C4512B
01AC01AE,70C93334,01AC01AC,70C6C228
01AD01AF,70CBA442,01AD01AD,70C93320
01AE01B0,70CE1542,01AE01AE,70CBA42A
01AF01B1,70D0863D,01AF01AF,70CE152A
01B001B2,70D2F739,01B001B0,70D08626
01B101B3,70D5683E,01B101B1,70D2F724
01B201B4,70D7D93D,01B201B2,70D56827
01B301B5,70DA4A37,01B301B3,70D7D926
01B401B6,70DCBB32,01B401B4,70DA4A22
01B501B7,70DF2C37,01B501B5,70DCBB1C
01B601B8,70E19D40,01B601B6,70DF2C22
01B701B9,70E40E36,01B701B7,70E19D28
01B801BA,70E67F2C,01B801B8,70E40E22
01B901BB,70E8F034,01B901B9,70E67F19
01BA01BC,70EB6136,01BA01BA,70E8F01E
01BB01BD,70EDD236,01BB01BB,70EB6120
01BC01BE,70F04334,01BC01BC,70EDD222
01BD01BF,70F2B42C,01BD01BD,70F0431E
01BE01C0,70F52533,01BE01BE,70F2B418
01BF01C1,70F79636,01BF01BF,70F5251E
01C001C2,70FA072E,01C001C0,70F79622
