Timestamp data collected on 2025-06-26 18:27:13
012D012C,03DEE8A9,012D0130,03E078A9
012E012D,03DFB0A7,012E0131,03E140AD
012F012E,03E078A4,012F0132,03E208AA
0130012F,03E140AA,01300133,03E2D0AC
01310130,03E208A5,01310134,03E398AC
01320131,03E2D0A6,01320135,03E460AC
01330132,03E398A8,01330136,03E528AC
01340133,03E460AA,01340137,03E5F0AA
01350134,03E528A7,01350138,03E6B8AC
01360135,03E5F0A6,01360139,03E780AA
01370136,03E6B8A9,0137013A,03E848AC
01380137,03E780A4,0138013B,03E910AA
01390138,03E848A9,0139013C,03E9D8AA
013A0139,03E910A6,013A013D,03EAA0A8
013B013A,03E9D8A6,013B013E,03EB68B2
013C013B,03EAA0A3,013C013F,03EC30AA
013D013C,03EB68B0,013D0140,03ECF8A6
013E013D,03EC30A6,013E0141,03EDC0AA
013F013E,03ECF8A2,013F0142,03EE88A8
0140013F,03EDC0A6,01400143,03EF50AA
01410140,03EE88A4,01410144,03F018A8
01420141,03EF50A5,01420145,03F0E0A5
01430142,03F018A4,01430146,03F1A8A8
01440143,03F0E0A0,01440147,03F270A6
01450144,03F1A8A3,01450148,03F338A8
01460145,03F270A2,01460149,03F400A2
01470146,03F338A4,0147014A,03F4C8A8
01480147,03F400A0,0148014B,03F590A2
01490148,03F4C8A4,0149014C,03F658A2
014A0149,03F590A0,014A014D,03F720A0
014B014A,03F658A0,014B014E,03F7E8A2
014C014B,03F720A0,014C014F,03F8B0A4
014D014C,03F7E8A0,014D0150,03F978A2
014E014D,03F8B0A0,014E0151,03FA40A5
014F014E,03F978A0,014F0152,03FB08A2
0150014F,03FA40A1,01500153,03FBD0A4
01510150,03FB08A0,01510154,03FC98A6
01520151,03FBD0A0,01520155,03FD60A2
01530152,03FC98A1,01530156,03FE28A2
01540153,03FD60A0,01540157,03FEF0AA
01550154,03FE28A0,01550158,03FFB8A0
01560155,03FEF0A3,01560159,040080A2
01570156,03FFB8A0,0157015A,040148A0
01580157,040080A0,0158015B,040210A0
01590158,040148A0,0159015C,0402D8A0
015A0159,040210A0,015A015D,0403A0A0
015B015A,0402D8A0,015B015E,040468A0
015C015B,0403A0A0,015C015F,040530A0
015D015C,040468A0,015D0160,0405F89E
015E015D,040530A0,015E0161,0406C09F
015F015E,0405F89E,015F0162,0407889D
0160015F,0406C09E,01600163,0408509E
01610160,0407889B,01610164,0409189D
01620161,0408509E,01620165,0409E09F
01630162,0409189A,01630166,040AA89A
01640163,0409E09E,01640167,040B709C
01650164,040AA898,01650168,040C389C
01660165,040B709A,01660169,040D009C
01670166,040C3899,0167016A,040DC89B
01680167,040D009A,0168016B,040E909E
01690168,040DC899,0169016C,040F58A0
016A0169,040E909D,016A016D,0410209C
016B016A,040F58A0,016B016E,0410E89A
016C016B,04102099,016C016F,0411B09C
016D016C,0410E898,016D0170,04127892
016E016D,0411B099,016E0171,0413409A
016F016E,04127890,016F0172,0414089F
0170016F,04134098,01700173,0414D09A
01710170,0414089E,01710174,0415989E
01720171,0414D098,01720175,0416609A
01730172,0415989D,01730176,0417289A
01740173,04166098,01740177,0417F09A
01750174,04172898,01750178,0418B89A
01760175,0417F098,01760179,0419809A
01770176,0418B898,0177017A,041A4899
01780177,04198098,0178017B,041B1098
01790178,041A4898,0179017C,041BD898
017A0179,041B1096,017A017D,041CA096
017B017A,041BD897,017B017E,041D6898
017C017B,041CA096,017C017F,041E3096
017D017C,041D6896,017D0180,041EF89A
017E017D,041E3094,017E0181,041FC094
017F017E,041EF898,017F0182,04208896
0180017F,041FC094,01800183,04215094
01810180,04208894,01810184,04221894
01820181,04215092,01820185,0422E096
01830182,04221894,01830186,0423A896
01840183,0422E094,01840187,04247096
01850184,0423A896,01850188,04253892
01860185,04247094,01860189,04260099
01870186,04253892,0187018A,0426C894
01880187,04260096,0188018B,04279094
01890188,0426C893,0189018C,04285894
018A0189,04279092,018A018D,04292098
018B018A,04285894,018B018E,0429E894
018C018B,04292096,018C018F,042AB096
018D018C,0429E892,018D0190,042B7895
018E018D,042AB094,018E0191,042C4094
018F018E,042B7894,018F0192,042D0894
0190018F,042C4093,01900193,042DD094
01910190,042D0894,01910194,042E9894
01920191,042DD092,01920195,042F6094
01930192,042E9893,01930196,04302892
01940193,042F6094,01940197,0430F092
01950194,04302890,01950198,0431B88C
01960195,0430F090,01960199,04328092
01970196,0431B88E,0197019A,0433488C
01980197,04328090,0198019B,04341092
01990198,0433488E,0199019C,0434D88E
019A0199,04341090,019A019D,0435A08E
019B019A,0434D88E,019B019E,0436688D
019C019B,0435A090,019C019F,0437308E
019D019C,0436688E,019D01A0,0437F88D
019E019D,0437308E,019E01A1,0438C092
019F019E,0437F88E,019F01A2,0439888E
